日期,進站人數,離站人數
20210703,1337,1352
20210704,1181,1092
20210705,2633,2507
20210706,2614,2355
20210707,2536,2285
20210708,2555,2357
20210709,2874,2523
20210710,1587,1548
20210711,1348,1289
20210712,2772,2586
20210713,2907,2647
20210714,2919,2641
20210715,2811,2509
20210716,2948,2864
20210717,1869,1765
20210718,1730,1615
20210719,3012,2862
20210720,3019,2843
20210721,2968,2713
20210722,2744,2479
20210723,2651,2442
20210724,1251,1267
20210725,1855,1757
20210726,3234,3121
20210727,4127,3690
20210728,3972,3815
20210729,3894,3561
20210730,4233,3993
20210731,2917,2782
20210801,2912,2719
20210802,4035,3942
20210803,4111,3720
20210804,4032,3692
20210805,4156,3580
20210806,4226,3896
20210807,2396,2402
20210808,2989,2770
20210809,4319,4036
20210810,4284,4059
20210811,4502,4155
20210812,4390,4014
20210813,4847,4539
20210814,4038,3807
20210815,3599,3252
20210816,4677,4504
20210817,4756,4323
20210818,4709,4415
20210819,4635,4170
20210820,5187,4984
20210821,4141,4068
20210822,3992,3649
20210823,4850,4630
20210824,5098,4642
20210825,5021,4651
20210826,5176,4713
20210827,5754,5312
20210828,5077,4858
20210829,4404,4094
20210830,5330,5004
20210831,5147,4716
20210901,5451,5375
20210902,5444,5315
20210903,5827,5865
20210904,4548,4434
20210905,4522,4135
20210906,5427,5280
20210907,5448,5208
20210908,5414,5341
20210909,3372,4580
20210910,5478,5300
20210911,4422,4567
20210912,2175,2241
20210913,5353,5255
20210914,5485,5282
20210915,5567,5215
20210916,5762,5285
20210917,6562,6239
20210918,5719,5470
20210919,5948,5616
20210920,6144,5699
20210921,5165,4499
20210922,5744,5771
20210923,5734,5438
20210924,6131,5995
20210925,5211,5024
20210926,5258,4962
20210927,5844,5759
20210928,5844,5537
20210929,5904,5680
20210930,5911,5314
20211001,6463,6291
20211002,5900,5544
20211003,5416,5182
20211004,5877,5743
20211005,5824,5568
20211006,5998,5578
20211007,6277,5921
20211008,7459,7140
20211009,8039,7725
20211010,8396,7695
20211011,5068,5130
20211012,5785,5776
20211013,6108,6158
20211014,6374,5967
20211015,7667,7107
20211016,6705,6447
20211017,5610,5536
20211018,6452,6447
20211019,6565,6238
20211020,6481,6104
20211021,6328,5691
20211022,7283,6670
20211023,5598,5482
20211024,4646,4596
20211025,6077,5923
