日期,進站人數,離站人數
20201221,18882,19915
20201222,16734,16945
20201223,15761,15596
20201224,19298,18926
20201225,30901,29439
20201226,32946,32868
20201227,35092,37011
20201228,18827,18864
20201229,16465,16259
20201230,18641,17909
20201231,32540,32977
20210101,33811,30535
20210102,29396,29338
20210103,31816,36586
20210104,17531,18478
20210105,14441,14419
20210106,14358,14520
20210107,14493,14375
20210108,21834,21476
20210109,23809,24088
20210110,30564,30564
20210111,16055,16350
20210112,14560,14790
20210113,15296,15433
20210114,16375,16189
20210115,24482,23923
20210116,27039,28962
20210117,34935,33245
20210118,18724,18645
20210119,17380,17231
20210120,21069,20458
20210121,18971,18955
20210122,22222,23663
20210123,24791,25880
20210124,30723,29707
20210125,19719,19328
20210126,17945,18192
20210127,17975,17877
20210128,17717,18063
20210129,21930,23593
20210130,23047,23606
20210131,26946,25624
20210201,18288,18149
20210202,17258,17373
20210203,18682,19031
20210204,18493,19065
20210205,22191,23413
20210206,23320,24043
20210207,26643,26065
20210208,22808,21813
20210209,25691,24749
20210210,28734,25156
20210211,23438,20988
20210212,27070,29991
20210213,34803,38658
20210214,41035,43094
20210215,32347,33722
20210216,28084,30251
20210217,23394,25018
20210218,22111,23095
20210219,23342,24239
20210220,24172,26816
20210221,32747,33236
20210222,17530,17450
20210223,15870,15834
20210224,16206,16096
20210225,17048,16760
20210226,30690,27395
20210227,31849,32708
20210228,35567,35664
20210301,30700,33918
20210302,16949,17353
20210303,14984,15144
20210304,15700,15603
20210305,25620,25009
20210306,26351,27229
20210307,30718,31974
20210308,17175,17211
20210309,15459,15598
20210310,16616,16333
20210311,17429,17490
20210312,28475,26851
20210313,30448,32050
20210314,40577,41621
20210315,18569,18606
20210316,16005,16267
20210317,16494,16022
20210318,17268,16852
20210319,27419,26229
20210320,28982,30428
20210321,37324,37842
20210322,17300,17538
20210323,15432,15194
20210324,14909,15015
20210325,16805,16728
20210326,25004,24559
20210327,27168,27203
20210328,30330,31573
20210329,17713,18133
20210330,15878,15733
20210331,20171,18642
20210401,29265,26077
20210402,34720,31412
20210403,31192,29473
20210404,30863,32197
20210405,29232,34974
20210406,21478,22879
20210407,17096,17455
20210408,16022,16941
20210409,24146,23911
20210410,28250,30845
20210411,37737,36314
20210412,17454,17642
20210413,16371,16306
20210414,16215,16071
20210415,16476,16703
20210416,25717,25634
20210417,28725,30142
20210418,34589,34453
20210419,18360,17842
20210420,15498,15025
20210421,16294,15826
20210422,16828,16694
20210423,26736,25451
20210424,29548,29961
20210425,31374,33341
20210426,17533,17593
20210427,15429,15233
20210428,15564,15587
20210429,17602,17791
20210430,31364,29539
20210501,29207,28589
20210502,31384,33550
20210503,17167,17177
20210504,14436,14005
20210505,14814,15140
20210506,15968,16169
20210507,29521,25978
20210508,25485,25014
20210509,28701,33790
20210510,17820,18889
20210511,15506,14996
20210512,14243,14536
20210513,14348,14253
20210514,21756,21315
20210515,15220,17068
20210516,17875,16627
20210517,9597,8984
20210518,6558,6502
20210519,5749,5598
20210520,4999,5073
20210521,7029,8077
20210522,4054,4541
20210523,5908,4923
20210524,4657,4440
20210525,3779,3784
20210526,3660,3647
20210527,3866,3885
20210528,5580,6341
20210529,3300,3283
20210530,4583,3959
20210531,3939,3732
20210601,3290,3355
20210602,3301,3222
20210603,3349,3429
20210604,4416,5069
20210605,2275,2307
20210606,3420,2787
20210607,3652,3481
20210608,3055,3158
20210609,2854,3050
20210610,3366,3361
20210611,5223,6257
20210612,2710,2824
20210613,2328,2069
20210614,5143,4647
20210615,4109,4029
20210616,3025,3156
20210617,2986,3041
20210618,3728,4090
20210619,2173,2322
20210620,2799,2498
20210621,3399,3296
20210622,3016,3068
20210623,3033,3052
20210624,3106,3211
20210625,4123,4604
20210626,2642,2707
20210627,3371,3094
20210628,3773,3685
20210629,3490,3471
20210630,3512,3450
20210701,3475,3571
20210702,4307,4710
20210703,2858,2949
20210704,3665,3278
20210705,3962,3934
20210706,3558,3528
20210707,3526,3663
20210708,3765,3780
20210709,4970,5296
20210710,3810,3862
20210711,5013,4664
20210712,4790,4634
20210713,4427,4488
20210714,4492,4630
20210715,4546,4763
20210716,6946,6408
20210717,4742,5370
20210718,6825,6006
20210719,5285,5269
20210720,4810,4799
20210721,4792,4861
20210722,4424,4625
20210723,5327,6062
20210724,4842,4800
20210725,6565,6292
20210726,5839,5720
20210727,5943,6066
20210728,6002,6014
20210729,6397,6425
20210730,8665,9775
20210731,7779,8648
20210801,9706,8472
20210802,6943,6635
20210803,6319,6367
20210804,6891,6823
20210805,6923,7254
20210806,9345,10351
20210807,8961,8474
20210808,11749,11347
20210809,8442,8589
20210810,7645,7855
20210811,8097,8280
20210812,8459,8819
20210813,11975,13180
20210814,13569,15284
20210815,19084,17795
20210816,10559,10164
20210817,8990,9070
20210818,9448,9434
20210819,9306,9884
20210820,12930,13597
20210821,13116,14075
20210822,16403,16112
20210823,11534,11584
20210824,10358,10549
20210825,10507,10616
20210826,10548,10928
20210827,13790,15017
20210828,14083,14816
20210829,17668,16898
20210830,11720,11584
20210831,10361,10282
20210901,10545,10742
20210902,11351,11743
20210903,15177,15389
20210904,14851,15205
20210905,18146,17367
20210906,12192,11736
20210907,11228,11499
20210908,11768,11856
20210909,12312,11687
20210910,13873,14285
20210911,14248,15372
20210912,17529,16124
20210913,11327,11238
20210914,10715,10651
20210915,11291,10767
20210916,12160,11916
20210917,21362,19515
20210918,22690,22344
20210919,26752,25780
20210920,22607,22152
20210921,21768,25600
20210922,13632,13826
20210923,10925,11188
20210924,15052,16045
20210925,15922,16779
20210926,20626,19693
20210927,12067,11817
20210928,10625,10432
20210929,10646,10602
20210930,10951,11051
20211001,16490,17096
20211002,16410,17375
20211003,20515,20365
20211004,11925,11716
20211005,10794,10742
20211006,11375,10868
20211007,12747,12778
20211008,25373,23173
20211009,26899,26891
20211010,31570,31292
20211011,26811,31227
20211012,14468,14509
